id,start,oospore_maturation,oospore_germination,oospore_dispersion,oospore_infection,incubation_days,completed_incubation,sporulations,sporangia_densities,spore_lifespan_days,secondary_infections,oospore_infection_strength,secondary_infection_strengths
17706,2025-05-04 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:20:00+02:00,2025-05-04 19:20:00+02:00,2025-05-04 23:20:00+02:00,7.4005927320280165,2025-05-16 23:20:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,13.294216311590466,2025-05-20 02:40:00+02:00,148.41666666666666,290.98333333333335
17724,2025-05-04 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:20:00+02:00,2025-05-04 19:20:00+02:00,None,None,None,None,None,None,None,None,None
17742,2025-05-04 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:20:00+02:00,2025-05-04 19:20:00+02:00,None,None,None,None,None,None,None,None,None
17760,2025-05-04 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:20:00+02:00,2025-05-04 19:20:00+02:00,None,None,None,None,None,None,None,None,None
17778,2025-05-04 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:20:00+02:00,2025-05-04 19:20:00+02:00,None,None,None,None,None,None,None,None,None
17796,2025-05-04 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:20:00+02:00,2025-05-04 19:20:00+02:00,None,None,None,None,None,None,None,None,None
17814,2025-05-04 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:20:00+02:00,2025-05-04 19:20:00+02:00,None,None,None,None,None,None,None,None,None
17832,2025-05-04 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-05 03:50:00+02:00,2025-05-05 03:50:00+02:00,2025-05-05 08:50:00+02:00,8.528743273028802,2025-05-17 08:50:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,13.294216311590466,2025-05-20 02:40:00+02:00,136.56666666666663,290.98333333333335
17850,2025-05-05 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,2025-05-12 01:20:00+02:00,8.049620999619684,2025-05-22 01:20:00+02:00,2025-05-26 05:40:00+02:00,206030.76923076928,13.894724943679039,2025-05-26 07:00:00+02:00,152.1,120.21666666666667
17868,2025-05-05 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
17886,2025-05-05 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
17904,2025-05-05 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
17922,2025-05-05 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
17940,2025-05-05 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
17958,2025-05-05 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
17976,2025-05-05 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
17994,2025-05-06 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18012,2025-05-06 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18030,2025-05-06 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18048,2025-05-06 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18066,2025-05-06 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18084,2025-05-06 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18102,2025-05-06 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18120,2025-05-06 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18138,2025-05-07 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18156,2025-05-07 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18174,2025-05-07 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18192,2025-05-07 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18210,2025-05-07 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18228,2025-05-07 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18246,2025-05-07 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18264,2025-05-07 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18282,2025-05-08 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18300,2025-05-08 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18318,2025-05-08 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18336,2025-05-08 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18354,2025-05-08 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18372,2025-05-08 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18390,2025-05-08 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18408,2025-05-08 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18426,2025-05-09 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18444,2025-05-09 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18462,2025-05-09 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18480,2025-05-09 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18498,2025-05-09 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18516,2025-05-09 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18534,2025-05-09 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18552,2025-05-09 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18570,2025-05-10 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18588,2025-05-10 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18606,2025-05-10 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18624,2025-05-10 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18642,2025-05-10 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18660,2025-05-10 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18678,2025-05-10 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18696,2025-05-10 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18714,2025-05-11 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18732,2025-05-11 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18750,2025-05-11 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18768,2025-05-11 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18786,2025-05-11 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18804,2025-05-11 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18822,2025-05-11 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18840,2025-05-11 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,None,None,None,None,None,None,None,None,None
18858,2025-05-12 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
18876,2025-05-12 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
18894,2025-05-12 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
18912,2025-05-12 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
18930,2025-05-12 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
18948,2025-05-12 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
18966,2025-05-12 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
18984,2025-05-12 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
19002,2025-05-13 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
19020,2025-05-13 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
19038,2025-05-13 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
19056,2025-05-13 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
19074,2025-05-13 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
19092,2025-05-13 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
19110,2025-05-13 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
19128,2025-05-13 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
19146,2025-05-14 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-20 12:30:00+02:00,2025-05-20 12:30:00+02:00,None,None,None,None,None,None,None,None,None
